보관소(대여소)명,상세주소,위도,경도
 서울역 7번출구,서울특별시 중구 남대문로5가 84-11,37.55664444,126.9736404
 중부경찰서앞사거리 건너편,서울특별시 중구 초동 107-12,37.56474304,126.9909515
 국제빌딩,서울특별시 중구 남대문로 109,37.56693268,126.9825821
 동대문디자인플라자,서울특별시 중구 을지로6가 18-169,37.5683136,127.0094605
 서소문성지역사박물관,서울특별시 중구 중림동 373,37.56024551,126.9687805
 서울도시건축전시관,서울특별시 중구 태평로1가 60-20,37.5670166,126.9768372
 중앙일보,서울특별시 중구 서소문동58-6,37.56253433,126.972496
 을지로입구역 8번출구,서울특별시 중구 을지로1가 140-1,37.56590271,126.981781
 을지로지하쇼핑센터,서울특별시 중구 을지로 66 하나금융그룹 명동사옥,37.56589127,126.9844513
서울지방고용노동청 앞,서울특별시 중구 삼일대로 363 장교빌딩,37.56760406,126.9872589
 신세계면세점,서울특별시 중구 충무로1가 54-2,37.56027603,126.9813919
 약수동 주민센터,서울특별시 중구 다산로96,37.55281448,127.0091934
 브라운스위트레지던스,서울특별시 중구 중립동 340-1,37.56147003,126.9680176
 서소문역사공원,서울특별시 중구 의주로2가 16-6,37.56157303,126.9684906
 중부경찰서앞 사거리,서울특별시 중구 저동2가 22-1,37.56459045,126.9907684
 롯데시티호텔,서울특별시 중구 장교동 74,37.56691742,126.9878311
 명동역9번 출구,서울특별시 중구 퇴계로 135-14 구두수선대124,37.56122589,126.9874954
 퇴계로4가 교차로(중구청),서울특별시 중구 퇴계로 235 남산 센트럴 자이,37.5625267,126.9983139
 동대문역사문화공원역 5번출구,서울특별시 중구 광희동 1가 202-5,37.56430817,127.0064774
 서울역 서부교차로(3),서울특별시 중구 중구 한강대로 405,37.55540848,126.9694214
 부산은행,서울특별시 중구 무교로 6,37.5664711,126.9792557
 KG타워 앞,서울특별시 중구 통일로 92 케이지타워,37.56339645,126.9689407
 황학동롯데캐슬,서울특별시 중구 중구 청계천로 400,37.57162094,127.0220413
 필동 삼거리,서울특별시 중구 서애로 33 티엔에스빌딩,37.55969238,126.9964829
 충정로역 2호선(엘리베이터 앞),서울특별시 중구 서소문로 18 에이원빌딩,37.55937576,126.9641419
 중부세무서 앞,서울특별시 중구 남학동 12-1,37.56092453,126.9906616
청구e편한세상아파트 113동 앞,신당동 44-40,37.56104279,127.0182114
한국경제,중구 청파로 463,37.56062698,126.9676819
 목월공원 앞,서울특별시 용산구 원효로4가 109-10 목월공원 앞,37.53243256,126.9547424
 한강진역 2번 출구 앞,서울특별시 용산구 한남동 726-494 한강진역 2번 출구 앞,37.54115295,127.0022125
 한남초교 앞 보도육교,서울특별시 용산구 한남동 725-17 한남초교 앞 보도육교,37.53813934,127.004097
 문배어린이공원 앞,서울특별시 용산구 문배동 34-10 문배어린이공원 앞,37.53675842,126.9700012
 전자랜드 본관 앞,서울특별시 용산구 한강로3가 16-8 전자랜드 본관 앞,37.5330658,126.9607315
 서울역 12번 출구 앞,서울특별시 용산구 동자동 14-229 서울역 12번 출구 앞,37.55227661,126.9726868
 서빙고동 금호맨션 앞,서울특별시 용산구 서빙고동 235-5 서빙고동 금호맨션 앞,37.520504,126.9897385
 한남 유수지 복개주차장,서울특별시 용산구 독서당로 18 한남 유수지 복개주차장,37.53016663,127.0074387
 이태원지하보도,서울특별시 용산구 용산동2가 5-1812 이태원지하보도,37.53841019,126.9866486
 녹사평역1번출구,서울특별시 용산구 용산동2가 6-7 녹사평역1번출구,37.53507996,126.9853821
 용산전쟁기념관,서울특별시 용산구 용산동1가 8-4 용산전쟁기념관,37.53483963,126.9776611
 삼각지역 3번출구,서울특별시 용산구 한강로1가 228-1 삼각지역 3번출구,37.53351212,126.9722748
 LIG강촌아파트 103동앞,서울특별시 용산구 이촌동301-5 LIG강촌아파트 103동앞,37.51850891,126.9787979
 신용산역 6번출구 앞,서울특별시 용산구 한강대로 115 신용산역 6번출구 앞,37.53014755,126.968483
 삼각지역 4번출구 앞,서울특별시 용산구 한강대로 161 삼각지역 4번출구 앞,37.53345108,126.9717331
 숙명여대 입구 교차로,서울특별시 용산구 청파로47길 100 숙명여대 입구 교차로,37.54489517,126.9693832
 선린인터넷 고등학교,서울특별시 용산구 원효로97길 33-4 선린인터넷 고등학교,37.54165268,126.9705048
 청파동입구 교차로,서울특별시 용산구 한강대로 349 청파동입구 교차로,37.54902649,126.9719467
 이촌1동 마을공원,서울특별시 용산구 이촌로 219 이촌1동 마을공원,37.52202606,126.9661865
 효창동주민센터 앞,서울특별시 용산구 효창원로 161 효창동주민센터 앞,37.54232025,126.9619598
 서빙고동 주민센터 앞,서울특별시 용산구 서빙고로 279 서빙고동 주민센터 앞,37.52033615,126.9942627
 국군복지단,서울특별시 용산구 두텁바위로 54-99 국군복지단,37.54188538,126.97966
 숙대입구역 8번,서울특별시 용산구 한강대로 289 숙대입구역 8번,37.54407883,126.9720001
한강대교 북단 교차로,서울특별시 용산구 한강대로 23 베르가모앞,37.52293015,126.9616928
강변삼성스위트아파트 앞,서울특별시 용산구 원효로 35 청암자이아파트앞,37.53442383,126.9485703
이태원관광특구A(녹사평역쪽),서울특별시 용산구 이태원로 134 이태원관광특구입구,37.53427887,126.9885635
 이촌1동 주민센터 뒤,서울특별시 용산구 이촌로71길 24 이촌1동 주민센터 뒤,37.5212822,126.973465
 효창공원앞역 3번출구 뒤,서울특별시 용산구 백범로 지하 287 효창공원앞역 3번출구 뒤,37.53900909,126.96138
 남영역 건너편,서울특별시 용산구 한강대로77길 18 남영역 건너편,37.54198074,126.9715424
 현대자동차서비스 앞,서울특별시 용산구 원효로 74 현대자동차서비스 앞,37.53142166,126.9514999
 한남나들목 입구,서울특별시 용산구 서빙고로 417 한남나들목 입구,37.52906036,127.0067291
 숙대입구역 4번출구,서울특별시 용산구 한강대로 지하 306 숙대입구역 4번출구,37.5444603,126.9723892
 보광동 삼성리버빌아파트 앞,서울특별시 용산구 보광로5길 40 보광동 삼성리버빌아파트 앞,37.5240097,127.0014496
 용산 파크타워 앞,서울특별시 용산구 서빙고로 67 용산 파크타워 앞,37.52365112,126.9702683
 신용산역 1번 출구,서울특별시 용산구 한강대로 100 신용산역 1번 출구,37.52960968,126.9688721
이태원관광특구B(용산구청쪽),서울특별시 용산구 이태원로 134 녹사평역 광장,37.53379822,126.9886704
 이촌2동 동원베네스트 아파트 앞,서울특별시 용산구 이촌로14길 7 이촌2동 동원베네스트 아파트 앞,37.5271492,126.9551621
 용산 선인상가,서울특별시 용산구 새창로 181 선인상가,37.53269958,126.9643784
 용산중학교,서울특별시 용산구 두텁바위로 74 용산중학교,37.54650116,126.9809494
 삼각지12번 출구,서울특별시 용산구 이태원로 29 전쟁기념관,37.53488922,126.9756241
 삼각지 자이아파트,서울특별시 용산구 한강대로 205 용산파크자이,37.53607941,126.9734192
 KCC용산월츠타워,서울특별시 용산구 백범로90길 34 구두수선대,37.53739929,126.9689255
효창 푸르지오 앞,서울특별시 용산구 백범로 260 효창파크 푸르지오,37.54047775,126.9581146
청암자이아파트 앞,서울특별시 용산구 삼개로 60 천년명가 청암자이,37.53452682,126.9471817
용산역 맞은편,서울특별시 용산구 한강로2가 408-5,37.52848816,126.9658432
HID 유족동지회 앞,서울특별시 용산구 이태원로 287 6호선 한강진역,37.53872681,127.0015488
이촌역5번출구 앞,서울특별시 용산구 서빙고로 83 4호선 이촌역,37.52272415,126.9727707
 현대 안성타워,서울특별시 용산구 이태원로 261-1 구두수선대,37.53502274,126.9980545
녹사평역3번 출구,서울특별시 용산구 용산동4가 10-4,37.53440857,126.9868927
