정류소명,경도,위도
종로중부새마을금고,127.0065911,37.57241749
신설동로터리.신한은행앞.서울풍물시장,127.0231951,37.57425481
청계2가.삼일교,126.9869891,37.56834543
청계8가.황학교,127.022787,37.57213073
평창동삼성아파트,126.9787981,37.61118009
안국역.인사동,126.9855365,37.57633293
안국역.서울공예박물관,126.9848871,37.57641401
창덕궁,126.9890031,37.57722809
남인사마당,126.9874286,37.57131917
평창파출소,126.9668167,37.60568122
삼청공원,126.9816469,37.58822768
수성동계곡,126.9644679,37.58208138
명륜3가종점,126.9928637,37.59094838
명륜새마을금고,126.9967901,37.58778547
서대문역3번출구,126.9663939,37.56633706
낙산공원,127.0087216,37.58040372
인사미술공간.세탁소,126.9893671,37.58141098
화정박물관,126.9648837,37.6048012
금융연수원,126.9816583,37.58663983
박노수미술관,126.9666035,37.58099674
샘미용실.종로구청소년상담복지센터,126.9932227,37.59030953
서울국제고등학교,126.9972903,37.58907159
화정박물관,126.9652008,37.60498061
적십자병원후문앞,126.9652273,37.56752954
서울성곽.성대후문,126.9895694,37.58936638
빨래터.고희동미술관,126.9890634,37.58298722
세검초등학교,126.9614908,37.60425228
삼청동주민센터,126.9819072,37.58426383
통인시장,126.9684957,37.58044175
양현관,126.9936044,37.58979142
국민생활관,126.998862,37.58974563
오거리,126.9622629,37.60706212
경희궁자이2.3단지,126.9640686,37.56878711
창신쌍용2단지.한성대후문,127.0127581,37.5812648
통일부,126.9859477,37.58759481
원서고개,126.9878088,37.58308055
종로5가입구.혜화경찰서,126.9976709,37.57179285
삼청파출소,126.981251,37.58181366
오거리.한옥마을입구,126.9696089,37.57940462
명륜시장.성대후문,126.9952543,37.58851105
혜화초등학교,126.9998517,37.58725323
청련사입구,126.9624312,37.60798038
영천시장,126.9627389,37.57008186
명신초.삼선푸르지오.힐스테이트,127.0145563,37.58210621
감사원,126.9852901,37.58621065
중앙중고,126.9869653,37.58309218
인왕빌딩,126.9577443,37.60792833
종로4가.종묘공원,126.9946203,37.57068903
국립민속박물관,126.9795534,37.57925518
광화문새마을금고,126.9711466,37.57936877
새마을금고,126.9965181,37.58773706
혜화우체국,127.0006137,37.58603766
언덕앞,126.9637922,37.60895398
경희궁자이4단지,126.9621148,37.57070222
